Instance,clase,v,cplex1,ob1,ob21,gap1,cplex2,ob2,ob12,gap2,gap21,gap12,opt1,opt21,opt2,opt12
p2.2.e_c.txt,1,2,75,75,75,0.0,150.0,150.0,150.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.e_c.txt,1,2,75,75,75,0.0,150.0,150.0,150.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.e_c.txt,1,2,75,75,75,0.0,150.0,150.0,150.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.e_c.txt,1,2,75,75,75,0.0,150.0,150.0,150.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.e_c.txt,1,2,75,75,75,0.0,150.0,150.0,150.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.f_c.txt,1,2,90,90,90,0.0,135.0,135.0,135.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.f_c.txt,1,2,90,90,90,0.0,135.0,135.0,135.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.f_c.txt,1,2,90,90,90,0.0,135.0,135.0,135.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.f_c.txt,1,2,90,90,90,0.0,135.0,135.0,135.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.f_c.txt,1,2,90,90,90,0.0,135.0,135.0,135.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.f_c.txt,1,2,90,90,90,0.0,135.0,135.0,135.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.f_c.txt,1,2,90,90,90,0.0,135.0,135.0,135.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.f_c.txt,1,2,90,90,90,0.0,135.0,135.0,135.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.f_c.txt,1,2,90,90,90,0.0,135.0,135.0,135.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.f_c.txt,1,2,90,90,90,0.0,135.0,135.0,135.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.g_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.g_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.g_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.g_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.g_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.g_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.g_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.g_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.g_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.g_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.h_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.h_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.h_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.h_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.h_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.h_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.h_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.h_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.h_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.h_c.txt,1,2,100,100,100,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.i_c.txt,1,2,110,110,110,0.0,115.0,115.0,115.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.i_c.txt,1,2,110,110,105,0.0,115.0,120.0,115.0,4.35,4.55,-0.0,1,0,0,1
p2.2.i_c.txt,1,2,110,110,105,0.0,115.0,120.0,115.0,4.35,4.55,-0.0,1,0,0,1
p2.2.i_c.txt,1,2,110,110,105,0.0,115.0,120.0,115.0,4.35,4.55,-0.0,1,0,0,1
p2.2.i_c.txt,1,2,110,105,100,4.55,115.0,125.0,120.0,8.7,9.09,4.35,0,0,0,0
p2.2.i_c.txt,1,2,110,110,100,0.0,115.0,125.0,115.0,8.7,9.09,-0.0,1,0,0,1
p2.2.i_c.txt,1,2,110,105,100,4.55,115.0,125.0,120.0,8.7,9.09,4.35,0,0,0,0
p2.2.i_c.txt,1,2,110,110,105,0.0,115.0,120.0,115.0,4.35,4.55,-0.0,1,0,0,1
p2.2.i_c.txt,1,2,110,110,105,0.0,115.0,120.0,115.0,4.35,4.55,-0.0,1,0,0,1
p2.2.i_c.txt,1,2,110,105,110,4.55,115.0,115.0,120.0,-0.0,0.0,4.35,0,1,1,0
p2.2.j_c.txt,1,2,115,115,115,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.j_c.txt,1,2,115,115,115,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.j_c.txt,1,2,115,115,115,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.j_c.txt,1,2,115,115,115,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.j_c.txt,1,2,115,115,115,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.j_c.txt,1,2,115,115,115,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.j_c.txt,1,2,115,115,115,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.j_c.txt,1,2,115,115,115,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.j_c.txt,1,2,115,115,115,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.j_c.txt,1,2,115,115,115,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.k_c.txt,1,2,120,120,120,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,0,0,0,0
